onset,duration,description
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
15.841797,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
36.095703,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
39.210938,0.5,SYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
41.613281,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
45.5,0.5,ASYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
48.044922,0.5,SYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
50.369141,0.5,ASYM
